ticker_original,ticker,company,sector
A,A,Agilent Technologies,Health Care
AABA,AABA,AABA,Unknown
AAL,AAL,AAL,Unknown
AAP,AAP,AAP,Unknown
AAPL,AAPL,Apple Inc.,Information Technology
ABBV,ABBV,AbbVie,Health Care
ABMD,ABMD,ABMD,Unknown
ABNB,ABNB,Airbnb,Consumer Discretionary
ABT,ABT,Abbott Laboratories,Health Care
ACGL,ACGL,Arch Capital Group,Financials
ACN,ACN,Accenture,Information Technology
ADBE,ADBE,Adobe Inc.,Information Technology
ADI,ADI,Analog Devices,Information Technology
ADM,ADM,Archer Daniels Midland,Consumer Staples
ADP,ADP,Automatic Data Processing,Industrials
ADSK,ADSK,Autodesk,Information Technology
ADT,ADT,ADT,Unknown
AEE,AEE,Ameren,Utilities
AEP,AEP,American Electric Power,Utilities
AES,AES,AES Corporation,Utilities
AET,AET,AET,Unknown
AFL,AFL,Aflac,Financials
AGN,AGN,AGN,Unknown
AIG,AIG,American International Group,Financials
AIV,AIV,AIV,Unknown
AIZ,AIZ,Assurant,Financials
AJG,AJG,Arthur J. Gallagher & Co.,Financials
AKAM,AKAM,Akamai Technologies,Information Technology
ALB,ALB,Albemarle Corporation,Materials
ALGN,ALGN,Align Technology,Health Care
ALK,ALK,ALK,Unknown
ALL,ALL,Allstate,Financials
ALLE,ALLE,Allegion,Industrials
ALXN,ALXN,ALXN,Unknown
AMAT,AMAT,Applied Materials,Information Technology
AMCR,AMCR,Amcor,Materials
AMD,AMD,Advanced Micro Devices,Information Technology
AME,AME,Ametek,Industrials
AMG,AMG,AMG,Unknown
AMGN,AMGN,Amgen,Health Care
AMP,AMP,Ameriprise Financial,Financials
AMT,AMT,American Tower,Real Estate
AMTM,AMTM,AMTM,Unknown
AMZN,AMZN,Amazon,Consumer Discretionary
AN,AN,AN,Unknown
ANDV,ANDV,ANDV,Unknown
ANET,ANET,Arista Networks,Information Technology
ANSS,ANSS,ANSS,Unknown
AON,AON,Aon plc,Financials
AOS,AOS,A. O. Smith,Industrials
APA,APA,APA Corporation,Energy
APC,APC,APC,Unknown
APD,APD,Air Products,Materials
APH,APH,Amphenol,Information Technology
APO,APO,Apollo Global Management,Financials
APP,APP,AppLovin,Information Technology
APTV,APTV,Aptiv,Consumer Discretionary
ARE,ARE,Alexandria Real Estate Equities,Real Estate
ARES,ARES,Ares Management,Financials
ARG,ARG,ARG,Unknown
ARNC,ARNC,ARNC,Unknown
ATO,ATO,Atmos Energy,Utilities
ATVI,ATVI,ATVI,Unknown
AVB,AVB,AvalonBay Communities,Real Estate
AVGO,AVGO,Broadcom,Information Technology
AVY,AVY,Avery Dennison,Materials
AWK,AWK,American Water Works,Utilities
AXON,AXON,Axon Enterprise,Industrials
AXP,AXP,American Express,Financials
AYI,AYI,AYI,Unknown
AZO,AZO,AutoZone,Consumer Discretionary
BA,BA,Boeing,Industrials
BAC,BAC,Bank of America,Financials
BALL,BALL,Ball Corporation,Materials
BAX,BAX,Baxter International,Health Care
BBBY,BBBY,BBBY,Unknown
BBT,BBT,BBT,Unknown
BBWI,BBWI,BBWI,Unknown
BBY,BBY,Best Buy,Consumer Discretionary
BCR,BCR,BCR,Unknown
BDX,BDX,Becton Dickinson,Health Care
BEN,BEN,Franklin Resources,Financials
BF.B,BF-B,Brown–Forman,Consumer Staples
ADS,BFH,ADS,Unknown
BG,BG,Bunge Global,Consumer Staples
BHF,BHF,BHF,Unknown
BHGE,BHGE,BHGE,Unknown
BIIB,BIIB,Biogen,Health Care
BIO,BIO,BIO,Unknown
BKNG,BKNG,Booking Holdings,Consumer Discretionary
BKR,BKR,Baker Hughes,Energy
BLDR,BLDR,Builders FirstSource,Industrials
BLK,BLK,BlackRock,Financials
BMY,BMY,Bristol Myers Squibb,Health Care
BK,BNY,BK,Unknown
BR,BR,Broadridge Financial Solutions,Industrials
BRCM,BRCM,BRCM,Unknown
BRK.B,BRK-B,Berkshire Hathaway,Financials
BRO,BRO,Brown & Brown,Financials
BSX,BSX,Boston Scientific,Health Care
BWA,BWA,BWA,Unknown
BX,BX,Blackstone Inc.,Financials
BXLT,BXLT,BXLT,Unknown
BXP,BXP,"BXP, Inc.",Real Estate
C,C,Citigroup,Financials
CA,CA,CA,Unknown
CAG,CAG,CAG,Unknown
CAH,CAH,Cardinal Health,Health Care
CAM,CAM,CAM,Unknown
CARR,CARR,Carrier Global,Industrials
CASY,CASY,Casey's,Consumer Staples
CAT,CAT,Caterpillar Inc.,Industrials
CB,CB,Chubb Limited,Financials
CBOE,CBOE,Cboe Global Markets,Financials
CBRE,CBRE,CBRE Group,Real Estate
CBS,CBS,CBS,Unknown
CCE,CCE,CCE,Unknown
CCEP,CCEP,CCEP,Unknown
CCI,CCI,Crown Castle,Real Estate
CCL,CCL,Carnival Corporation,Consumer Discretionary
CDNS,CDNS,Cadence Design Systems,Information Technology
CDW,CDW,CDW Corporation,Information Technology
CE,CE,CE,Unknown
CEG,CEG,Constellation Energy,Utilities
